STOP_ID,Latitude,STOP_NAME,Longitude,TICKETZONE,ROUTEUSSP,Area of Interest
18045,-37.810355,5-Elizabeth St/La Trobe St (Melbourne City),144.961117,1,"35,30",Tram Stop
18052,-37.814705,D2-Central Pier/Harbour Esp (Docklands),144.944901,1,"35,70,75,86,30",Tram Stop
18053,-37.817819,D3-Stadium Precinct/Harbour Esp (Docklands),144.946246,1,"70,75,35",Tram Stop
18054,-37.821466,D4-Docklands Park/Harbour Esp (Docklands),144.94761,1,"70,75,35",Tram Stop
18055,-37.821835,D5-South Wharf/Wurundjeri Way (Docklands),144.951213,1,"70,75,35",Tram Stop
18056,-37.821471,D6-Flinders Street West/Flinders St (Docklands),144.953608,1,"70,75,35",Tram Stop
18057,-37.79496,18-Chapman St/Abbotsford St (North Melbourne),144.946947,1,57,Tram Stop
18058,-37.796307,17-Molesworth St/Abbotsford St (North Melbourne),144.946694,1,57,Tram Stop
18059,-37.798284,16-Haines St/Abbotsford St (North Melbourne),144.946344,1,57,Tram Stop
18060,-37.800997,15-Arden St/Abbotsford St (North Melbourne),144.945849,1,57,Tram Stop
18061,-37.80239,14-Queensberry St/Abbotsford St (North Melbourne),144.945628,1,57,Tram Stop
18087,-37.819063,3-Market St/Flinders St (Melbourne City),144.961797,1,"70,75,35",Tram Stop
18089,-37.818238,4-Elizabeth St/Flinders St (Melbourne City),144.964626,1,"70,75,35",Tram Stop
18090,-37.81756,5-Swanston St/Flinders St (Melbourne City),144.967132,1,"70,75,35",Tram Stop
18091,-37.816564,6-Russell St/Flinders St (Melbourne City),144.9705,1,"70,75,35",Tram Stop
18174,-37.816657,6-Russell St/Flinders St (Melbourne City),144.970168,1,"70,75,35",Tram Stop
18175,-37.817756,5-Swanston St/Flinders St (Melbourne City),144.966491,1,"70,75,35",Tram Stop
18176,-37.818412,4-Elizabeth St/Flinders St (Melbourne City),144.96428,1,"70,75,35",Tram Stop
18178,-37.819306,3-Market St/Flinders St (Melbourne City),144.961279,1,"70,75,35",Tram Stop
18179,-37.821726,D6-Victoria Police Centre/Flinders St (Southbank),144.953215,1,"70,75,35",Tram Stop
18180,-37.822001,D5-South Wharf/Wurundjeri Way (Docklands),144.950913,1,"70,75,35",Tram Stop
18181,-37.821725,D4-Docklands Park/Harbour Esp (Docklands),144.947501,1,"70,75,35",Tram Stop
18182,-37.817463,D3-Stadium Precinct/Harbour Esp (Docklands),144.94596,1,"70,75,35",Tram Stop
18183,-37.814249,D2-CentralPier/Harbour Esp (Docklands),144.944584,1,"35,70,75,86,30",Tram Stop
18185,-37.823289,124A-Casino/MCEC/Clarendon St (Southbank),144.956057,1,"12,96,109",Tram Stop
18186,-37.821554,124-Batman Park/Spencer St (Melbourne City),144.955265,1,"12,96,109",Tram Stop
18187,-37.818767,122-Southern Cross Railway Station/Spencer St (Melbourne City),144.954092,1,96,Tram Stop
18189,-37.815313,120-Lonsdale St/Spencer St (Melbourne City),144.952381,1,86,Tram Stop
18190,-37.813405,119-La Trobe St/Spencer St (Melbourne City),144.951502,1,86,Tram Stop
18192,-37.81496,120-Lonsdale St/Spencer St (Melbourne City),144.952311,1,86,Tram Stop
18194,-37.818319,122-Southern Cross Railway Station/Spencer St (Melbourne City),144.953718,1,96,Tram Stop
18196,-37.821773,124-Batman Park/Spencer St (Melbourne City),144.955406,1,"12,96,109",Tram Stop
18197,-37.823591,124A-Casino/MCEC/Clarendon St (Southbank),144.95631,1,"12,96,109",Tram Stop
18199,-37.815874,5-Bourke St/William St (Melbourne City),144.95825,1,58,Tram Stop
18201,-37.811996,7-Flagstaff Railway Station/William St (Melbourne City),144.956517,1,58,Tram Stop
18202,-37.809743,8-Franklin St/William St (Melbourne City),144.955454,1,58,Tram Stop
18203,-37.805391,10-Victoria St/Peel St (West Melbourne),144.956029,1,58,Tram Stop
18204,-37.805698,10-Victoria St/Peel St (West Melbourne),144.956077,1,58,Tram Stop
18205,-37.807442,9-Queen Victoria Market/Peel St (North Melbourne),144.955779,1,58,Tram Stop
18206,-37.807216,9-Queen Victoria Market/39 Peel St (North Melbourne),144.955751,1,58,Tram Stop
18207,-37.809428,8-Franklin St/Peel St (Melbourne City),144.955474,1,58,Tram Stop
18208,-37.812461,7-Flagstaff Railway Station/William St (Melbourne City),144.956799,1,58,Tram Stop
18210,-37.81544,5-Bourke St/William St (Melbourne City),144.95816,1,58,Tram Stop
18211,-37.817457,4-Collins St/William St (Melbourne City),144.959092,1,58,Tram Stop
18214,-37.819513,1-Flinders St/Queens Bridge St (Melbourne City),144.96124,1,58,Tram Stop
18215,-37.822117,115-Casino/Southbank/Queens Bridge St (Southbank),144.961225,1,58,Tram Stop
18227,-37.823816,17-Arts Precinct/Sturt St (Southbank),144.967256,1,1,Tram Stop
18229,-37.824094,17-Arts Precinct/Sturt St (Southbank),144.96718,1,1,Tram Stop
18450,-37.821711,115-Casino East/Queens Bridge St (Southbank),144.961225,1,58,Tram Stop
18465,-37.819429,1-Flinders St/Queens Bridge St (Melbourne City),144.961106,1,58,Tram Stop
18466,-37.818539,2-Flinders Lane/Market St (Melbourne City),144.960698,1,58,Tram Stop
18467,-37.81864,3-William St/Flinders Lane (Melbourne City),144.959776,1,58,Tram Stop
18469,-37.817819,4-Collins St/William St (Melbourne City),144.959173,1,58,Tram Stop
19691,-37.807799,7-RMIT University/Swanston St (Melbourne City),144.962868,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19694,-37.802629,3-Lincoln Square/Swanston St (Carlton),144.963555,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19696,-37.798766,1-Melbourne University/Swanston St (Carlton),144.964241,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19699,-37.797587,15-Murphy St/Flemington Rd (North Melbourne),144.952394,1,"59,58",Tram Stop
20482,-37.797488,15-Murphy St/Flemington Rd (North Melbourne),144.952385,1,"59,58",Tram Stop
20490,-37.801384,12-Flemington Rd/Peel St (North Melbourne),144.95673,1,58,Tram Stop
20491,-37.801548,12-Flemington Rd/Peel St (North Melbourne),144.956805,1,58,Tram Stop
20492,-37.803623,11-Queensberry St/Peel St (North Melbourne),144.956441,1,58,Tram Stop
20493,-37.803307,11-Queensberry St/Peel St (North Melbourne),144.956393,1,58,Tram Stop
20981,-37.814566,D1-Stadium Precinct/La Trobe St (Docklands),144.946745,1,"35,86,30",Tram Stop
21231,-37.820834,1-Spencer St/Flinders St (Melbourne City),144.955853,1,"70,75,35",Tram Stop
21232,-37.821051,1-Spencer St/Flinders St (Melbourne City),144.955381,1,"70,75,35",Tram Stop
21233,-37.82031,2-Melbourne Aquarium/Flinders St (Melbourne City),144.957821,1,"70,75,35",Tram Stop
21234,-37.820109,2-Melbourne Aquarium/Flinders St (Melbourne City),144.958213,1,"70,75,35",Tram Stop
22153,-37.814383,7-Exhibition St/Collins St (Melbourne City),144.970514,1,"11,12,48,109",Tram Stop
19250,-37.802826,13-Curzon St/Queensberry St (North Melbourne),144.947944,1,57,Tram Stop
19251,-37.802987,12-North Melbourne Town Hall/Queensberry St (North Melbourne),144.949405,1,57,Tram Stop
19253,-37.799478,14-Royal Melbourne Hospital/Flemington Rd (Parkville),144.954886,1,"59,58",Tram Stop
19254,-37.796419,16-Harker St/Flemington Rd (Parkville),144.951052,1,"59,58",Tram Stop
19256,-37.794282,19-Royal Childrens Hospital/Flemington Rd (North Melbourne),144.948363,1,"59,58",Tram Stop
19341,-37.794138,113-Lytton St/Lygon St (Carlton),144.968127,1,"6,1",Tram Stop
19492,-37.805694,4-Queensberry St/Swanston St (Carlton),144.963108,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19494,-37.808139,7-RMIT University/Swanston St (Melbourne City),144.96329,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19495,-37.810382,8-Melbourne Central Station/Swanston St (Melbourne City),144.964274,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19497,-37.813199,10-Bourke Street Mall/Swanston St (Melbourne City),144.965582,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19498,-37.816378,11-City Square/Swanston St (Melbourne City),144.967017,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19499,-37.818476,13-Federation Square/Swanston St (Melbourne City),144.967982,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19500,-37.821846,14-Arts Precinct/St Kilda Rd (Southbank),144.969514,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19502,-37.824169,17-Grant St-Police Memorial/St Kilda Rd (Southbank),144.970473,1,"3/3a,5,6,64,67,72,16",Tram Stop
19589,-37.802942,13-Curzon St/Queensberry St (North Melbourne),144.948362,1,57,Tram Stop
19590,-37.803224,12-North Melbourne Town Hall/Errol St (North Melbourne),144.949535,1,57,Tram Stop
19591,-37.799826,14-Royal Melbourne Hospital/Flemington Rd (North Melbourne),144.955205,1,"59,58",Tram Stop
19592,-37.796758,16-Harker St/Flemington Rd (North Melbourne),144.95136,1,"59,58",Tram Stop
19594,-37.794141,19-Royal Childrens Hospital/Flemington Rd (North Melbourne),144.94806,1,"59,58",Tram Stop
19681,-37.824634,17-Grant St-Police Memorial/St Kilda Rd (Southbank),144.970801,1,"3/3a,5,6,64,67,72,16",Tram Stop
19684,-37.821517,14-Arts Precinct/St Kilda Rd (Southbank),144.969239,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19685,-37.818065,13-Federation Square/Swanston St (Melbourne City),144.967675,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19686,-37.81573,11-City Square/Swanston St (Melbourne City),144.966569,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
19687,-37.812759,10-Bourke Street Mall/Swanston St (Melbourne City),144.965185,1,"16,3/3a,5,6,64,67,72,1",Tram Stop
43472,-37.819681,D14-Southern Cross Station/Collins St (Docklands),144.952215,1,"48,11",Tram Stop
43473,-37.820266,D15-Batman's Hill/Collins St (Docklands),144.950131,1,"48,11",Tram Stop
43474,-37.821527,D17-Merchant St/Collins St (Docklands),144.945416,1,"48,11",Tram Stop
43475,-37.820797,D16-Harbour Esp/Collins St (Docklands),144.948038,1,"48,11",Tram Stop
43476,-37.820074,D15-Batman's Hill/Collins St (Docklands),144.950477,1,"48,11",Tram Stop
43477,-37.819471,D14-Southern Cross Station/Collins St (Docklands),144.952596,1,"48,11",Tram Stop
43480,-37.820862,D16-Harbour Esp/Collins St (Docklands),144.948138,1,"48,11",Tram Stop
47493,-37.820801,D18-Bourke St/Collins St (Docklands),144.942039,1,"48,11",Tram Stop
