,Sensor_ID,Hour,Count,Average,Latitude,Longitude,Name
93,40,12,1773010,126643.57142857143,-37.80999341,144.97227587,Lonsdale St-Spring St (West)
94,40,13,1664994,118928.14285714286,-37.80999341,144.97227587,Lonsdale St-Spring St (West)
95,40,15,1071520,76537.14285714286,-37.80999341,144.97227587,Lonsdale St-Spring St (West)
96,36,17,1333382,95241.57142857143,-37.81652527,144.96121062,Queen St (West)
97,36,18,899470,64247.857142857145,-37.81652527,144.96121062,Queen St (West)
98,36,19,606232,43302.28571428572,-37.81652527,144.96121062,Queen St (West)
99,36,16,1035490,73963.57142857143,-37.81652527,144.96121062,Queen St (West)
100,36,20,498478,35605.57142857143,-37.81652527,144.96121062,Queen St (West)
101,36,10,891699,63692.78571428572,-37.81652527,144.96121062,Queen St (West)
102,36,21,471514,33679.57142857143,-37.81652527,144.96121062,Queen St (West)
103,36,22,430266,30733.285714285714,-37.81652527,144.96121062,Queen St (West)
104,36,23,402207,28729.071428571428,-37.81652527,144.96121062,Queen St (West)
105,36,0,311787,22270.5,-37.81652527,144.96121062,Queen St (West)
106,36,1,250872,17919.428571428572,-37.81652527,144.96121062,Queen St (West)
107,36,14,1128550,80610.71428571429,-37.81652527,144.96121062,Queen St (West)
108,36,2,193466,13819.0,-37.81652527,144.96121062,Queen St (West)
109,36,3,159002,11357.285714285714,-37.81652527,144.96121062,Queen St (West)
110,36,4,65172,4655.142857142857,-37.81652527,144.96121062,Queen St (West)
111,36,5,59934,4281.0,-37.81652527,144.96121062,Queen St (West)
112,36,6,137398,9814.142857142857,-37.81652527,144.96121062,Queen St (West)
113,36,7,379659,27118.5,-37.81652527,144.96121062,Queen St (West)
114,36,8,1088252,77732.28571428571,-37.81652527,144.96121062,Queen St (West)
115,36,9,932611,66615.07142857143,-37.81652527,144.96121062,Queen St (West)
116,36,11,927525,66251.78571428571,-37.81652527,144.96121062,Queen St (West)
117,36,12,1642463,117318.78571428571,-37.81652527,144.96121062,Queen St (West)
118,36,13,1610078,115005.57142857143,-37.81652527,144.96121062,Queen St (West)
119,36,15,993470,70962.14285714286,-37.81652527,144.96121062,Queen St (West)
120,29,17,2696187,192584.7857142857,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
121,29,18,2223384,158813.14285714287,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
122,29,19,1605145,114653.21428571429,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
123,29,16,2284284,163163.14285714287,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
124,29,20,1172915,83779.64285714286,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
125,29,10,1322936,94495.42857142857,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
126,29,21,981143,70081.64285714286,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
127,29,22,878351,62739.357142857145,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
128,29,23,519280,37091.42857142857,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
129,29,0,188787,13484.785714285714,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
130,29,1,109695,7835.357142857143,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
131,29,14,2309380,164955.7142857143,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
132,29,2,63329,4523.5,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
133,29,3,40009,2857.785714285714,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
134,29,4,40289,2877.785714285714,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
135,29,5,122468,8747.714285714286,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
136,29,6,320486,22891.85714285714,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
137,29,7,716095,51149.642857142855,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
138,29,8,1254512,89608.0,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
139,29,9,1062691,75906.5,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
140,29,11,1728599,123471.35714285714,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
141,29,12,2256546,161181.85714285713,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
142,29,13,2484565,177468.92857142858,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
143,29,15,2297707,164121.92857142858,-37.81965809,144.96863453,St Kilda Rd-Alexandra Gardens
144,42,17,1151884,82277.42857142857,-37.80008566,144.96386412,Grattan St-Swanston St (West)
145,42,18,845052,60360.857142857145,-37.80008566,144.96386412,Grattan St-Swanston St (West)
146,42,19,551453,39389.5,-37.80008566,144.96386412,Grattan St-Swanston St (West)
147,42,16,1018620,72758.57142857143,-37.80008566,144.96386412,Grattan St-Swanston St (West)
148,42,20,424444,30317.428571428572,-37.80008566,144.96386412,Grattan St-Swanston St (West)
149,42,10,805541,57538.642857142855,-37.80008566,144.96386412,Grattan St-Swanston St (West)
150,42,21,327293,23378.071428571428,-37.80008566,144.96386412,Grattan St-Swanston St (West)
151,42,22,223811,15986.5,-37.80008566,144.96386412,Grattan St-Swanston St (West)
152,42,23,144853,10346.642857142857,-37.80008566,144.96386412,Grattan St-Swanston St (West)
153,42,0,86833,6202.357142857143,-37.80008566,144.96386412,Grattan St-Swanston St (West)
154,42,1,56062,4004.4285714285716,-37.80008566,144.96386412,Grattan St-Swanston St (West)
155,42,14,1061660,75832.85714285714,-37.80008566,144.96386412,Grattan St-Swanston St (West)
156,42,2,31770,2269.285714285714,-37.80008566,144.96386412,Grattan St-Swanston St (West)
157,42,3,24606,1757.5714285714287,-37.80008566,144.96386412,Grattan St-Swanston St (West)
158,42,4,25259,1804.2142857142858,-37.80008566,144.96386412,Grattan St-Swanston St (West)
159,42,5,34178,2441.285714285714,-37.80008566,144.96386412,Grattan St-Swanston St (West)
160,42,6,98434,7031.0,-37.80008566,144.96386412,Grattan St-Swanston St (West)
161,42,7,221136,15795.42857142857,-37.80008566,144.96386412,Grattan St-Swanston St (West)
162,42,8,614811,43915.07142857143,-37.80008566,144.96386412,Grattan St-Swanston St (West)
163,42,9,754747,53910.5,-37.80008566,144.96386412,Grattan St-Swanston St (West)
164,42,11,991825,70844.64285714286,-37.80008566,144.96386412,Grattan St-Swanston St (West)
165,42,12,1242038,88717.0,-37.80008566,144.96386412,Grattan St-Swanston St (West)
166,42,13,1312334,93738.14285714286,-37.80008566,144.96386412,Grattan St-Swanston St (West)
167,42,15,1060195,75728.21428571429,-37.80008566,144.96386412,Grattan St-Swanston St (West)
168,43,17,983258,70232.71428571429,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
169,43,18,706088,50434.857142857145,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
170,43,19,454454,32461.0,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
171,43,16,894838,63917.0,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
172,43,20,332251,23732.214285714286,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
173,43,10,654504,46750.28571428572,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
174,43,21,248874,17776.714285714286,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
175,43,22,161607,11543.357142857143,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
176,43,23,103009,7357.785714285715,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
177,43,0,50266,3590.4285714285716,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
178,43,1,27802,1985.857142857143,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
179,43,14,814275,58162.5,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
180,43,2,12025,858.9285714285714,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
181,43,3,7526,537.5714285714286,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
182,43,4,6235,445.35714285714283,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
183,43,5,14985,1070.357142857143,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
184,43,6,57076,4076.8571428571427,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
185,43,7,175793,12556.642857142857,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
186,43,8,586705,41907.5,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
187,43,9,723997,51714.07142857143,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
188,43,11,717700,51264.28571428572,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
189,43,12,903475,64533.92857142857,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
190,43,13,951984,67998.85714285714,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
191,43,15,835890,59706.42857142857,-37.79844526,144.96411782,Monash Rd-Swanston St (West)
192,44,17,507893,36278.07142857143,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
193,44,18,385209,27514.928571428572,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
194,44,19,262022,18715.85714285714,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
195,44,16,414468,29604.85714285714,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
196,44,20,189078,13505.57142857143,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
197,44,10,314919,22494.214285714286,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
198,44,21,149383,10670.214285714286,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
199,44,22,105036,7502.571428571428,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
200,44,23,66839,4774.214285714285,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
201,44,0,38461,2747.214285714286,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
202,44,1,21247,1517.642857142857,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
