ogc_fid,Longitude,x_coordinate_address,x_coordinate_zip,property_id,street_name,x_coordinate_city,census_year,Latitude,parking_type,block_id,clue_small_area,parking_spaces,base_property_id,x_coordinate_state,FID,Area of Interest
93053,144.9573078,,,103783,90 Fitzgibbon Street,,2017,-37.79393259,Residential,911,Parkville,2,103783,,com_clue_offstreet_car_parking_2017.93053,Off Street Parking
93055,144.9693572,,,110751,8 La Trobe Street,,2017,-37.80766757,Private,98,Melbourne (CBD),22,109675,,com_clue_offstreet_car_parking_2017.93055,Off Street Parking
93057,144.9702028,,,107002,22-30 Oliver Lane,,2017,-37.81592613,Residential,17,Melbourne (CBD),10,107002,,com_clue_offstreet_car_parking_2017.93057,Off Street Parking
93058,144.9610322,,,624495,23-39 Therry Street,,2017,-37.80709681,Private,115,Melbourne (CBD),157,624495,,com_clue_offstreet_car_parking_2017.93058,Off Street Parking
93059,144.9650733,,,579414,104 Cardigan Street,,2017,-37.80419527,Residential,254,Carlton,1,579414,,com_clue_offstreet_car_parking_2017.93059,Off Street Parking
93061,144.9559033,,,107303,175 Park Drive,,2017,-37.7936971,Residential,923,Parkville,1,107303,,com_clue_offstreet_car_parking_2017.93061,Off Street Parking
93200,144.957563,,,108460,57 Royal Parade,,2017,-37.7952876,Residential,915,Parkville,1,108460,,com_clue_offstreet_car_parking_2017.93200,Off Street Parking
93064,144.9893217,,,104543,50-54 Grey Street,,2017,-37.8118795,Residential,602,East Melbourne,4,104543,,com_clue_offstreet_car_parking_2017.93064,Off Street Parking
93065,144.9682043,,,510626,98 Drummond Street,,2017,-37.80451485,Residential,251,Carlton,1,510626,,com_clue_offstreet_car_parking_2017.93065,Off Street Parking
93066,144.9425422,,,106808,32 Munster Terrace,,2017,-37.80314129,Private,339,North Melbourne,1,106808,,com_clue_offstreet_car_parking_2017.93066,Off Street Parking
93069,144.9862972,,,107661,134 Powlett Street,,2017,-37.81243739,Residential,610,East Melbourne,1,107661,,com_clue_offstreet_car_parking_2017.93069,Off Street Parking
93072,144.942417,,,103555,86-88 Erskine Street,,2017,-37.79418772,Residential,305,North Melbourne,4,103555,,com_clue_offstreet_car_parking_2017.93072,Off Street Parking
93075,144.9502718,,,109712,325-341 Victoria Street,,2017,-37.80553547,Commercial,423,West Melbourne (Residential),48,109712,,com_clue_offstreet_car_parking_2017.93075,Off Street Parking
93076,144.9852236,,,102024,82-88 Clowes Street,,2017,-37.83029311,Residential,853,South Yarra,14,102024,,com_clue_offstreet_car_parking_2017.93076,Off Street Parking
93077,144.947955,,,103848,213 Flemington Road,,2017,-37.79459124,Residential,353,North Melbourne,1,103848,,com_clue_offstreet_car_parking_2017.93077,Off Street Parking
93083,144.9529638,,,102965,72 Dudley Street,,2017,-37.80881019,Residential,439,West Melbourne (Residential),2,102965,,com_clue_offstreet_car_parking_2017.93083,Off Street Parking
93084,144.9452183,,,107111,102-114 O'Shanassy Street,,2017,-37.79906469,Residential,328,North Melbourne,8,107110,,com_clue_offstreet_car_parking_2017.93084,Off Street Parking
93085,144.9767368,,,111030,1 Government House Drive,,2017,-37.82783595,Residential,852,Melbourne (Remainder),30,111030,,com_clue_offstreet_car_parking_2017.93085,Off Street Parking
93086,144.9721275,,,106866,85 Neill Street,,2017,-37.79451932,Residential,227,Carlton,1,106866,,com_clue_offstreet_car_parking_2017.93086,Off Street Parking
93087,144.9582719,,,104091,142-146 Franklin Street,,2017,-37.80856602,Private,114,Melbourne (CBD),10,104091,,com_clue_offstreet_car_parking_2017.93087,Off Street Parking
93091,144.9524166,,,110812,135 Chetwynd Street,,2017,-37.80258688,Residential,368,North Melbourne,2,110812,,com_clue_offstreet_car_parking_2017.93091,Off Street Parking
93094,144.9573609,,,110757,280-318 William Street,,2017,-37.81209045,Commercial,83,Melbourne (CBD),204,110142,,com_clue_offstreet_car_parking_2017.93094,Off Street Parking
93095,144.9499517,,,100852,83-113 Batman Street,,2017,-37.81158684,Private,444,West Melbourne (Residential),94,100852,,com_clue_offstreet_car_parking_2017.93095,Off Street Parking
93097,144.9565783,,,110140,330-352 William Street,,2017,-37.81124428,Residential,93,Melbourne (CBD),61,110140,,com_clue_offstreet_car_parking_2017.93097,Off Street Parking
93099,144.9436239,,,109755,487-491 Victoria Street,,2017,-37.80482946,Private,403,West Melbourne (Residential),3,109755,,com_clue_offstreet_car_parking_2017.93099,Off Street Parking
93100,144.9593412,,,100165,136-140 A'Beckett Street,,2017,-37.80940928,Residential,104,Melbourne (CBD),11,100165,,com_clue_offstreet_car_parking_2017.93100,Off Street Parking
93101,144.9831632,,,109650,346-348 Victoria Parade,,2017,-37.80941365,Residential,620,East Melbourne,2,109650,,com_clue_offstreet_car_parking_2017.93101,Off Street Parking
93102,144.9842551,,,104271,184 George Street,,2017,-37.81482778,Residential,617,East Melbourne,2,104271,,com_clue_offstreet_car_parking_2017.93102,Off Street Parking
93104,144.9796369,,,567856,232-238 Victoria Parade,,2017,-37.80915862,Private,621,East Melbourne,9,567856,,com_clue_offstreet_car_parking_2017.93104,Off Street Parking
93105,144.9380943,,,627688,2 Foundry Way,,2017,-37.82302899,Residential,773,Docklands,2,627688,,com_clue_offstreet_car_parking_2017.93105,Off Street Parking
93110,144.9668051,,,108566,302-324 Russell Street,,2017,-37.80930218,Residential,87,Melbourne (CBD),120,108566,,com_clue_offstreet_car_parking_2017.93110,Off Street Parking
93111,144.9549136,,,101530,141-147 Capel Street,,2017,-37.80460814,Private,357,North Melbourne,25,101530,,com_clue_offstreet_car_parking_2017.93111,Off Street Parking
93114,144.9532916,,,105014,79-81 Howard Street,,2017,-37.8051324,Private,356,North Melbourne,2,105014,,com_clue_offstreet_car_parking_2017.93114,Off Street Parking
93115,144.9446733,,,104752,110 Hawke Street,,2017,-37.80884515,Residential,416,West Melbourne (Residential),1,104752,,com_clue_offstreet_car_parking_2017.93115,Off Street Parking
93116,144.9370905,,,637395,66 South Wharf Drive,,2017,-37.8221519,Residential,773,Docklands,2,637395,,com_clue_offstreet_car_parking_2017.93116,Off Street Parking
93117,144.986051,,,109896,317-323 Walsh Street,,2017,-37.83020671,Residential,853,South Yarra,4,109896,,com_clue_offstreet_car_parking_2017.93117,Off Street Parking
93119,144.9885662,,,109622,518 Victoria Parade,,2017,-37.81000389,Private,612,East Melbourne,2,109622,,com_clue_offstreet_car_parking_2017.93119,Off Street Parking
93120,144.9437866,,,101388,18 Canning Street,,2017,-37.79564515,Residential,306,North Melbourne,1,101388,,com_clue_offstreet_car_parking_2017.93120,Off Street Parking
93121,144.9692418,,,103712,162 Faraday Street,,2017,-37.7985919,Residential,216,Carlton,2,103712,,com_clue_offstreet_car_parking_2017.93121,Off Street Parking
93123,144.9719781,,,101232,32-38 Bourke Street,,2017,-37.81136083,Private,58,Melbourne (CBD),5,101232,,com_clue_offstreet_car_parking_2017.93123,Off Street Parking
93124,144.9834989,,,109993,178-226 Wellington Parade,,2017,-37.81582277,Private,618,East Melbourne,225,109993,,com_clue_offstreet_car_parking_2017.93124,Off Street Parking
93125,144.9711235,,,106273,60-62 MacArthur Place North,,2017,-37.79795132,Residential,223,Carlton,1,106273,,com_clue_offstreet_car_parking_2017.93125,Off Street Parking
93129,144.9727997,,,105170,59-63 Kay Street,,2017,-37.79539415,Residential,226,Carlton,1,105170,,com_clue_offstreet_car_parking_2017.93129,Off Street Parking
93130,144.943969,,,604124,816-828 Bourke Street,,2017,-37.81927362,Commercial,1108,Docklands,40,604124,,com_clue_offstreet_car_parking_2017.93130,Off Street Parking
93132,144.9476041,,,101824,83 Chapman Street,,2017,-37.79611008,Residential,352,North Melbourne,2,101824,,com_clue_offstreet_car_parking_2017.93132,Off Street Parking
93133,144.9429526,,,102790,99-101 Dryburgh Street,,2017,-37.80419084,Residential,340,North Melbourne,1,102790,,com_clue_offstreet_car_parking_2017.93133,Off Street Parking
