,Lastupdated,Status_Timestamp,Zone_Number,Status_Description,Parkingbay_ID,Latitude,Longitude,Area of Interest
1422,2023-10-10T21:20:20+11:00,2023-10-10T20:53:40+11:00,7812,Present,12730,-37.82628292,144.95982584401793,On Street Parking
1423,2023-10-10T21:20:20+11:00,2023-08-20T20:44:34+10:00,7800,Present,24504,-37.79761658,144.95759186875387,On Street Parking
1424,2023-10-10T21:20:20+11:00,2023-10-10T19:14:15+11:00,7711,Unoccupied,13921,-37.80196708,144.95621226494697,On Street Parking
1425,2023-10-10T21:20:20+11:00,2023-10-10T16:30:02+11:00,7711,Unoccupied,13920,-37.80198466,144.9561886876454,On Street Parking
1426,2023-10-10T21:20:20+11:00,2023-10-10T20:23:51+11:00,7711,Unoccupied,13914,-37.80194883,144.9562331206111,On Street Parking
1427,2023-10-10T21:20:20+11:00,2023-10-10T16:38:02+11:00,7711,Unoccupied,24516,-37.80201489,144.95614166427916,On Street Parking
1428,2023-10-10T21:20:20+11:00,2023-10-10T18:55:22+11:00,,Present,24527,-37.81221182,144.9507336003042,On Street Parking
1429,2023-10-10T21:20:20+11:00,2023-10-10T17:38:08+11:00,,Unoccupied,24473,-37.80806021,144.95547634245725,On Street Parking
1430,2023-10-10T21:20:20+11:00,2023-10-10T21:04:23+11:00,7310,Present,24550,-37.81000341,144.95802875973874,On Street Parking
1431,2023-10-10T21:20:20+11:00,2023-10-10T20:43:46+11:00,7310,Present,24549,-37.81002017,144.9579700085091,On Street Parking
1432,2023-10-10T21:20:20+11:00,2023-10-10T21:06:29+11:00,,Unoccupied,24184,-37.81070411,144.96981076064492,On Street Parking
1433,2023-10-10T21:20:20+11:00,2023-10-08T10:35:41+11:00,7630,Unoccupied,51640,-37.81597029,144.9694342944236,On Street Parking
1434,2023-10-10T21:20:20+11:00,2023-10-10T17:22:23+11:00,7449,Present,7573,-37.80852009,144.95954463791742,On Street Parking
1435,2023-10-10T21:20:20+11:00,2023-10-10T19:03:19+11:00,7449,Present,7570,-37.80846385,144.95974035573408,On Street Parking
1436,2023-10-10T21:20:20+11:00,2023-10-10T21:02:42+11:00,7449,Present,7572,-37.80850096,144.95961111995268,On Street Parking
1437,2023-10-10T21:20:20+11:00,2023-10-10T20:51:42+11:00,7970,Unoccupied,24609,-37.81241708,144.95096493267457,On Street Parking
1438,2023-10-10T21:20:20+11:00,2023-10-10T21:13:58+11:00,7253,Unoccupied,17436,-37.81012047,144.9756886076944,On Street Parking
1439,2023-10-10T21:20:20+11:00,2023-10-10T18:48:32+11:00,7253,Present,17432,-37.80999037,144.97571012234073,On Street Parking
1440,2023-10-10T21:20:20+11:00,2023-10-10T17:49:37+11:00,7254,Present,17448,-37.81039758,144.97535659838871,On Street Parking
1441,2023-10-10T21:20:20+11:00,2023-10-10T20:27:02+11:00,7254,Unoccupied,17450,-37.81050471,144.97533844565666,On Street Parking
1442,2023-10-10T21:20:20+11:00,2023-10-10T18:37:57+11:00,7280,Present,5923,-37.81182447,144.97563353533332,On Street Parking
1443,2023-10-10T21:20:20+11:00,2023-10-10T20:31:24+11:00,7280,Present,5947,-37.81190265,144.97635194669076,On Street Parking
1444,2023-10-10T21:20:20+11:00,2023-10-10T17:44:00+11:00,,Present,5965,-37.81205746,144.97672234723717,On Street Parking
1445,2023-10-10T21:20:20+11:00,2023-10-10T18:04:38+11:00,7278,Present,5931,-37.81193638,144.97561571918135,On Street Parking
1446,2023-10-10T21:20:20+11:00,2023-10-10T20:32:15+11:00,7278,Unoccupied,5938,-37.81200577,144.97624765405462,On Street Parking
1447,2023-10-10T21:20:20+11:00,2023-10-10T20:07:54+11:00,7278,Unoccupied,5935,-37.811983,144.97604299004234,On Street Parking
1448,2023-10-10T21:20:20+11:00,2023-10-10T20:32:45+11:00,7278,Unoccupied,5943,-37.81204343,144.976596,On Street Parking
1449,2023-10-10T21:20:20+11:00,2023-10-10T20:46:18+11:00,7278,Unoccupied,5963,-37.8121263,144.97735350898935,On Street Parking
1450,2023-10-10T21:20:20+11:00,2023-10-10T20:23:05+11:00,7278,Unoccupied,5953,-37.81209586,144.9770745964709,On Street Parking
1451,2023-10-10T21:20:20+11:00,2023-10-09T11:11:06+11:00,7270,Present,24604,-37.81167803,144.9861086304088,On Street Parking
1452,2023-10-10T21:20:20+11:00,2023-10-10T19:50:13+11:00,7270,Unoccupied,24598,-37.81135528,144.98616320615582,On Street Parking
1453,2023-10-10T21:20:20+11:00,2023-10-10T11:57:25+11:00,7270,Present,24597,-37.8113017,144.98617226736098,On Street Parking
1454,2023-10-10T21:20:20+11:00,2023-10-10T16:30:15+11:00,7255,Present,17928,-37.81189357,144.98694334668812,On Street Parking
1455,2023-10-10T21:20:20+11:00,2023-10-10T15:57:34+11:00,7255,Present,17931,-37.81191593,144.98714581142826,On Street Parking
1456,2023-10-10T21:20:20+11:00,2023-10-10T16:53:24+11:00,7255,Unoccupied,17930,-37.81190847,144.98707832298516,On Street Parking
1457,2023-10-10T21:20:20+11:00,2023-10-10T15:49:36+11:00,7255,Unoccupied,17938,-37.81196811,144.98761822873726,On Street Parking
1458,2023-10-10T21:20:20+11:00,2023-10-10T20:20:38+11:00,7255,Unoccupied,17927,-37.81188611,144.9868758588587,On Street Parking
1459,2023-10-10T21:20:20+11:00,2023-10-10T18:09:49+11:00,7255,Unoccupied,17921,-37.81184138,144.9864709298841,On Street Parking
1460,2023-10-10T21:20:20+11:00,2023-10-10T17:30:11+11:00,7255,Present,17932,-37.81192338,144.98721329934347,On Street Parking
1461,2023-10-10T21:20:20+11:00,2023-10-10T15:45:46+11:00,7255,Unoccupied,17933,-37.81193084,144.98728078724952,On Street Parking
1462,2023-10-10T21:20:20+11:00,2023-10-10T18:33:36+11:00,7255,Unoccupied,17925,-37.8118712,144.9867408821104,On Street Parking
1463,2023-10-10T21:20:20+11:00,2023-10-10T15:49:02+11:00,7255,Present,17919,-37.81182647,144.98633595445511,On Street Parking
1464,2023-10-10T21:20:20+11:00,2023-10-10T15:50:21+11:00,7247,Unoccupied,17453,-37.81067634,144.97593939468675,On Street Parking
1465,2023-10-10T21:20:20+11:00,2023-10-10T17:29:32+11:00,7247,Present,17452,-37.81066931,144.97587520922048,On Street Parking
1466,2023-10-10T21:20:20+11:00,2023-10-10T16:42:53+11:00,7247,Unoccupied,17463,-37.81074692,144.97658841133818,On Street Parking
1467,2023-10-10T21:20:20+11:00,2023-10-10T20:15:33+11:00,7247,Unoccupied,17457,-37.81070463,144.9761986586807,On Street Parking
1468,2023-10-10T21:20:20+11:00,2023-10-10T18:30:51+11:00,7247,Present,17518,-37.81097239,144.9769523129807,On Street Parking
1469,2023-10-10T21:20:20+11:00,2023-04-14T06:14:08+10:00,7546,Unoccupied,14778,-37.81187799,144.95974649842478,On Street Parking
1470,2023-10-10T21:20:20+11:00,2023-04-14T06:28:24+10:00,7544,Unoccupied,14780,-37.81183907,144.9598791065372,On Street Parking
1471,2023-10-10T21:20:20+11:00,2023-04-14T06:12:04+10:00,7546,Present,14777,-37.81189674,144.95968259218688,On Street Parking
1472,2023-10-10T21:20:20+11:00,2023-04-14T06:44:04+10:00,,Present,22678,-37.81172678,144.9602635892575,On Street Parking
1473,2023-10-10T21:20:20+11:00,2023-08-15T23:46:24+10:00,,Unoccupied,24670,-37.81270921,144.9707751,On Street Parking
1474,2023-10-10T21:20:20+11:00,2023-08-16T03:59:03+10:00,,Unoccupied,24669,-37.81275782,144.9707976789527,On Street Parking
1475,2023-10-10T21:20:20+11:00,2023-08-14T08:48:24+10:00,,Unoccupied,22893,-37.81430133,144.97167802474604,On Street Parking
1476,2023-10-10T21:20:20+11:00,2023-08-14T08:50:04+10:00,,Unoccupied,22895,-37.81434782,144.9716995942493,On Street Parking
1477,2023-10-10T21:20:20+11:00,2023-10-10T19:14:06+11:00,7260,Present,20641,-37.80929886,144.97833036087303,On Street Parking
1478,2023-10-10T21:20:20+11:00,2023-10-10T18:59:52+11:00,7260,Unoccupied,20639,-37.8094605,144.9783032708449,On Street Parking
1479,2023-10-10T21:20:20+11:00,2023-10-10T21:16:47+11:00,7259,Present,23020,-37.81134185,144.97794981577806,On Street Parking
1480,2023-10-10T21:20:20+11:00,2023-10-10T17:29:44+11:00,7259,Unoccupied,23019,-37.8113963,144.9779406498383,On Street Parking
1481,2023-10-10T21:20:20+11:00,2023-10-10T17:24:07+11:00,7258,Unoccupied,22870,-37.81058867,144.97831165218793,On Street Parking
1482,2023-10-10T21:20:20+11:00,2023-10-10T16:45:08+11:00,7258,Unoccupied,23015,-37.81106362,144.97823393449596,On Street Parking
1483,2023-10-10T21:20:20+11:00,2023-10-10T14:40:20+11:00,7258,Unoccupied,23036,-37.8106884,144.9782985151345,On Street Parking
1484,2023-10-10T21:20:20+11:00,2023-10-10T21:16:15+11:00,7258,Unoccupied,23028,-37.81048634,144.9783290087034,On Street Parking
1485,2023-10-10T21:20:20+11:00,2023-10-10T18:07:33+11:00,7258,Unoccupied,23029,-37.81043515,144.97833768694665,On Street Parking
