X,Y,OBJECTID,TFM_ID,TFM_LRS_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,YEAR_SINCE,LAST_YEAR,DATA_SOURC,TIME_CATEG,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS,HF_NUMBER,HLINK_NUMB,HF_ROUTE,HF_ROUTE_D,HF_DESCRIP,HF_SEQUENC,RAMP_TYPE
2498119.93,2408616.545,53488,41168,144527,BATMAN AV SE OF SWAN ST,INTERSECTION,All Moves,OLYMPIC BVD/BATMAN AV,2997,BATMAN AVENUE TOLLWAY,BATMAN AVENUE,SCATS,1,2020,Scats,Less than 2 Years,10000,,,8915,2309,1194,1,SOUTHERN LINK TOLLWAY NE BD OFFRAMP TO BATMAN AVE TOLLWAY,10,DIRECT OFFRAMP
2497617.286,2410175.532,54586,52675,153160,NICHOLSON ST S OF ALBERT ST,INTERSECTION,All Moves,ALBERT ST/NICHOLSON ST/LONSDALE ST,9999,Missing Data,NICHOLSON STREET,SCATS,2,2019,Scats,Between 2 and 5 Years,,,,13108,8436,1658,0,NICHOLSON STREET N Bd btwn SPRING STREET & ALBERT STREET,4,ROAD
2497761.351,2408780.536,54695,56147,155483,ALEXANDRA AVE NW OF LINLITHGOW AVE,INTERSECTION,All Moves,ALEXANDRA AVE/LINLITHGOW AVE,2240,YARRA BANK HIGHWAY,ALEXANDRA AVENUE,SCATS,1,2020,Scats,Less than 2 Years,28000,,,255,4655,5,0,ALEXANDRA AVE E BD BTWN STURT ST & LINLITHGOW AVE,6,ROAD
2497025.296,2410256.297,54871,55771,154973,RUSSELL ST NW OF LATROBE ST,INTERSECTION,Left Missing,RUSSELL ST/LA TROBE ST,9999,Missing Data,RUSSELL STREET,SCATS,2,2019,Scats,Between 2 and 5 Years,,,,6475,8667,1562,1,RUSSELL STREET S Bd btwn VICTORIA STREET & LATROBE STREET,1,ROAD
2496423.295,2410552.555,55777,56323,155452,ELIZABETH ST NW OF VICTORIA ST,INTERSECTION,All Moves,ELIZABETH ST/VICTORIA ST,5046,ELIZABETH STREET,ELIZABETH STREET,SCATS,1,2020,Scats,Less than 2 Years,12000,,,1944,2977,876,1,ELIZABETH ST S BD BTWN QUEENSBERRY ST & VICTORIA ST,6,ROAD
2496808.291,2408684.213,56019,55393,150559,CITY RD SW OF SOUTHBANK BLVD,INTERSECTION,Left Missing,CITY RD/SOUTHBANK BLVD,2240,YARRA BANK HIGHWAY,CITY ROAD,SCATS,1,2020,Scats,Less than 2 Years,,,,614,4647,5,0,CITY RD NE BD BTWN POWER ST & SOUTHBANK BVD,4,ROAD
2495778.393,2410184.24,56120,55356,152244,DUDLEY ST SW OF KING ST,INTERSECTION,All Moves,KING ST/DUDLEY ST,5040,DUDLEY STREET,DUDLEY STREET,SCATS,1,2020,Scats,Less than 2 Years,15000,,,2271,2939,251,0,DUDLEY ST E BD BTWN SPENCER ST & KING ST,3,ROAD
2496171.411,2409211.802,56532,58336,154794,KING ST NW OF COLLINS ST,INTERSECTION,All Moves,KING ST/COLLINS ST,5041,KING STREET,KING STREET,SCATS,1,2020,Scats,Less than 2 Years,21000,,,1939,2946,875,1,KING STREET S Bd btwn BOURKE STREET & COLLINS STREET,6,ROAD
2497234.17,2410415.488,56864,47228,152989,VICTORIA ST W OF RATHDOWNE ST,INTERSECTION,All Moves,VICTORIA ST/RATHDOWNE ST/EXHIBITION ST,5082,VICTORIA STREET,VICTORIA STREET,SCATS,1,2020,Scats,Less than 2 Years,19000,,,2313,3145,470,0,VICTORIA ST E BD BTWN EXHIBITION ST (WEST) & EXHIBITION ST (EAST),8,ROAD
2498106.639,2408637.165,57239,56511,154312,TOLLPOINT8B BATMAN AVE N BD BTW FLINDERS ST & SWAN ST,MIDBLOCK,All Moves,TOLLZONE8B BATMAN AVE BTW FLINDERS ST & SWAN ST,2997,BATMAN AVENUE TOLLWAY,BATMAN AVENUE,CTLFT,2,2019,Telemetry,Between 2 and 5 Years,10000,720,0.07,15794,2321,422,1,BATMAN AVENUE TOLLWAY NW BD BTWN SWAN STREET & TENNIS CENTRE ACCESS ROAD,2,ROAD
2497333.515,2410083.252,58105,53215,152526,EXHIBITION ST SE OF LONSDALE ST,INTERSECTION,All Moves,EXHIBITION ST/LONSDALE ST,9999,Missing Data,EXHIBITION STREET,SCATS,1,2020,Scats,Less than 2 Years,9100,,,13595,7793,1517,0,EXHIBITION STREET N Bd btwn BOURKE STREET & LONSDALE STREET,3,ROAD
2498154.488,2409432.066,58222,51050,152338,JOLIMONT ST S OF WELLINGTON PDE,INTERSECTION,All Moves,WELLINGTON PDE/JOLIMONT RD,5125,JOLIMONT ROAD,JOLIMONT ROAD,SCATS,1,2020,Scats,Less than 2 Years,9000,,,9105,3297,272,0,JOLIMONT ROAD N BD BTWN WELLINGTON PARADE & WELLINGTON PARADE SOUTH,2,ROAD
2495366.458,2409986.358,58273,56061,153906,DUDLEY ST SW OF ADDERLEY ST,INTERSECTION,All Moves,DUDLEY ST/ADDERLEY ST,5040,DUDLEY STREET,DUDLEY STREET,SCATS,1,2020,Scats,Less than 2 Years,20000,,,1748,2937,251,0,DUDLEY ST E BD BTWN WURUNDJERI WAY & ADDERLEY ST,1,ROAD
2496330.237,2410807.607,58928,56327,153681,ELIZABETH ST NW OF QUEENSBERRY ST,INTERSECTION,All Moves,ELIZABETH ST/QUEENSBERRY ST,5046,ELIZABETH STREET,ELIZABETH STREET,SCATS,1,2020,Scats,Less than 2 Years,15000,,,2279,2976,876,1,ELIZABETH ST S BD BTWN ELIZABETH ST (ROUNDABOUT) & QUEENSBERRY ST,5,ROAD
2497594.302,2409949.414,59085,53154,155181,BOURKE ST SW OF SPRING ST,INTERSECTION,All Moves,SPRING ST/BOURKE ST,9999,Missing Data,BOURKE STREET,SCATS,1,2020,Scats,Less than 2 Years,4300,,,6041,7411,1286,0,BOURKE STREET E Bd btwn EXHIBITION STREET & SPRING STREET,3,ROAD
